abbr,funder
CGS,"ADA-ES, Inc."
CGS,Chevron
CGS,Dow Chemical
CGS,Electric Power Research Institute (EPRI)
CGS,ExxonMobil
CGS,Humboldt University of Berlin
CGS,Kyoto University
CGS,RTI International
CGS,University of Cambridge
